ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddo9gtqnev3q-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 19:52:37.184
ddo9gu0lcuap-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,21/10/2025 19:52:37.785
ddo9gver6yc3-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,21/10/2025 19:52:40.818
ddo9gvld8m2k-hqbhl5d,Falabellox,Juguetes,Juguetes Eco,290878,37,21/10/2025 19:52:41.218
ddo9gynkneej-awyiy0n,Riploy,Moda,Moda XL,35142,128,21/10/2025 19:52:47.882
ddo9h01y49kd-4ayicta,Riploy,Deportes,Deportes Smart,107893,33,21/10/2025 19:52:50.928
ddo9h0i3kqb7-7oz3z25,Parisio,Electrónica,Electrónica Pro,51845,13,21/10/2025 19:52:51.904
ddo9h0oht9mv-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 19:52:52.291
ddo9h1101lt7-jzf8anl,Riploy,Herramientas,Herramientas Max,149038,34,21/10/2025 19:52:53.047
ddo9h1whdndt-oj7ldws,Parisio,Juguetes,Juguetes Kit,277320,69,21/10/2025 19:52:54.951
ddo9h22rkj83-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 19:52:55.331
ddo9h3h0lk0m-rewugd5,Riploy,Juguetes,Juguetes Mini,40300,125,21/10/2025 19:52:58.369
ddo9h4f1sxzm-5wr0lv1,Riploy,Mascotas,Mascotas Ultra,83775,132,21/10/2025 19:53:00.427
ddo9h5t7yl46-5ctqv0m,Riploy,Belleza,Belleza Plus,43820,32,21/10/2025 19:53:03.461
ddo9h66kief5-bhh3swh,Parisio,Belleza,Belleza Plus,30161,56,21/10/2025 19:53:04.268
ddo9h6s9bydp-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 19:53:05.579
ddo9h7krwej8-w0c5s6s,Parisio,Computación,Computación Plus,151427,8,21/10/2025 19:53:07.303
ddo9h86elppp-jg5rm6j,Falabellox,Hogar,Hogar Pack,204735,3,21/10/2025 19:53:08.611
ddo9h9515rk9-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 19:53:10.705
ddo9h9gn1tm3-123s6cak,Parisio,Computación,Computación Mini,287255,2,21/10/2025 19:53:11.407
ddo9hag9qdph-8uljj55,Riploy,Deportes,Deportes Eco,106091,121,21/10/2025 19:53:13.561
ddo9hcb8bqfx-7sh7y5,Riploy,Electrónica,Electrónica Smart,164106,7,21/10/2025 19:53:17.610
ddo9hcey4e1l-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 19:53:17.835
ddo9hgw8j0oi-p1vj26y,Parisio,Hogar,Hogar Mini,10377,13,21/10/2025 19:53:27.588
ddo9hhk4lxzu-o0ip4da,Falabellox,Belleza,Belleza Pro,40751,1,21/10/2025 19:53:29.032
ddo9hhtrbquq-18acnsjp,Parisio,Hogar,Hogar Mini,265544,11,21/10/2025 19:53:29.615
ddo9hhzczvvv-195wvb9u,Riploy,Hogar,Hogar XL,120458,78,21/10/2025 19:53:29.953
ddo9hj7qdmgp-jmnqanz,Parisio,Deportes,Deportes Kit,276349,2,21/10/2025 19:53:32.636
ddo9hjf6edbp-ct7pg3i,Falabellox,Juguetes,Juguetes Mini,126044,102,21/10/2025 19:53:33.086
ddo9hju2vx0t-5nl7gqi,Riploy,Electrónica,Electrónica Smart,182340,3,21/10/2025 19:53:33.988
