ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddnj0xb1zjwn-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,20/10/2025 23:09:22.264
ddnj0xhefpg8-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:09:22.647
ddnj0yx0ne96-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:09:25.768
ddnj0zsyvu3j-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:09:27.700
ddnj11cezypx-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,20/10/2025 23:09:31.053
ddnj12d24ecl-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:09:33.269
ddnj60w7vsz8-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,20/10/2025 23:16:01.895
ddnj61ctt78g-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:16:02.899
ddnj62uh13tq-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:16:06.143
ddnj63pa5ayz-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:16:08.005
ddnjemn9nhwg-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:27:16.156
ddnjemnsmp93-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,20/10/2025 23:27:16.188
ddnjenx6qpqp-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:27:18.932
ddnjeoyxxzw2-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:27:21.215
ddnjeq8jpq5e-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,20/10/2025 23:27:23.973
ddnjerb8leer-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:27:26.312
ddnjvinhn7zn-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,20/10/2025 23:49:19.653
ddnjviikx8cm-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,20/10/2025 23:49:19.356
ddnjvk1g406z-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:49:22.674
ddnjvlccngcx-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:49:25.510
ddnjvnp1qmfb-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,20/10/2025 23:49:30.631
ddnjvokukcr7-awyiy0n,Riploy,Moda,Moda XL,35142,128,20/10/2025 23:49:32.554
ddnkdr6jocpc-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,21/10/2025 00:13:08.774
ddnkdr6idg0t-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 00:13:08.772
ddnkdskvmzkp-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,21/10/2025 00:13:11.818
ddnkdtiteoxe-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,21/10/2025 00:13:13.870
ddnkduwhv80c-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,21/10/2025 00:13:16.874
ddnkdvugh8tz-awyiy0n,Riploy,Moda,Moda XL,35142,128,21/10/2025 00:13:18.927
ddnkdx8pcg6z-4ayicta,Riploy,Deportes,Deportes Smart,107893,33,21/10/2025 00:13:21.966
ddnkdy6k5qp3-jzf8anl,Riploy,Herramientas,Herramientas Max,149038,34,21/10/2025 00:13:24.013
ddnkdy9s1swj-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 00:13:24.207
ddnkdzo5fttk-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 00:13:27.253
ddnke0is0hwb-rewugd5,Riploy,Juguetes,Juguetes Mini,40300,125,21/10/2025 00:13:29.105
ddnke4ejf6ed-5wr0lv1,Riploy,Mascotas,Mascotas Ultra,83775,132,21/10/2025 00:13:37.556
ddnke6glipcj-5ctqv0m,Riploy,Belleza,Belleza Plus,43820,32,21/10/2025 00:13:42.034
ddnke6hca3cc-bhh3swh,Parisio,Belleza,Belleza Plus,30161,56,21/10/2025 00:13:42.079
ddnke6i6u36b-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 00:13:42.130
ddnke8yxax1m-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 00:13:47.496
ddnkeb9m64f1-8uljj55,Riploy,Deportes,Deportes Eco,106091,121,21/10/2025 00:13:52.496
ddnkec8rj3wp-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 00:13:54.621
ddnkee9tqa50-xdj6i4s,Riploy,Automotriz,Automotriz Kit,175780,70,21/10/2025 00:13:59.039
