ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddo9gynkneej-awyiy0n,Riploy,Moda,Moda XL,35142,128,21/10/2025 19:52:47.882
ddo9h4f1sxzm-5wr0lv1,Riploy,Mascotas,Mascotas Ultra,83775,132,21/10/2025 19:53:00.427
ddo9h5t7yl46-5ctqv0m,Riploy,Belleza,Belleza Plus,43820,32,21/10/2025 19:53:03.461
ddo9hag9qdph-8uljj55,Riploy,Deportes,Deportes Eco,106091,121,21/10/2025 19:53:13.561
ddo9hcb8bqfx-7sh7y5,Riploy,Electrónica,Electrónica Smart,164106,7,21/10/2025 19:53:17.610
ddo9hd95szu8-xdj6i4s,Riploy,Automotriz,Automotriz Kit,175780,70,21/10/2025 19:53:19.662
ddo9henvkaa4-y8q18pg,Riploy,Electrónica,Electrónica Pro,125146,56,21/10/2025 19:53:22.728
ddo9hg4rp4yv-4lbccz5,Riploy,Computación,Computación Eco,138472,10,21/10/2025 19:53:25.927
ddo9hhzczvvv-195wvb9u,Riploy,Hogar,Hogar XL,120458,78,21/10/2025 19:53:29.953
ddo9hju2vx0t-5nl7gqi,Riploy,Electrónica,Electrónica Smart,182340,3,21/10/2025 19:53:33.988
