ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddnj0yx0ne96-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:09:25.768
ddnj0zsyvu3j-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:09:27.700
ddnj62uh13tq-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:16:06.143
ddnj63pa5ayz-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:16:08.005
ddnjenx6qpqp-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:27:18.932
ddnjeoyxxzw2-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:27:21.215
ddnjvk1g406z-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,20/10/2025 23:49:22.674
ddnjvlccngcx-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,20/10/2025 23:49:25.510
ddnkdskvmzkp-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,21/10/2025 00:13:11.818
ddnkdtiteoxe-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,21/10/2025 00:13:13.870
ddnkec8rj3wp-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 00:13:54.621
