ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddoca8z6cmp2-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 22:05:05.132
ddoca8z6dlhz-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,21/10/2025 22:05:05.132
ddocaafehdm9-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,21/10/2025 22:05:08.290
ddocaavzx55z-hqbhl5d,Falabellox,Juguetes,Juguetes Eco,290878,37,21/10/2025 22:05:09.293
ddocabe8udww-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,21/10/2025 22:05:10.396
ddocacrkmnh7-m6ieq1o,Falabellox,Computación,Computación Eco,291458,11,21/10/2025 22:05:13.379
ddocacu2tm8w-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,21/10/2025 22:05:13.530
ddocadtrlhq9-awyiy0n,Riploy,Moda,Moda XL,35142,128,21/10/2025 22:05:15.688
ddocaf9is60c-4ayicta,Riploy,Deportes,Deportes Smart,107893,33,21/10/2025 22:05:18.818
ddocafowkqzk-7oz3z25,Parisio,Electrónica,Electrónica Pro,51845,13,21/10/2025 22:05:19.748
ddocag29vfb6-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 22:05:20.556
ddocag86fid2-jzf8anl,Riploy,Herramientas,Herramientas Max,149038,34,21/10/2025 22:05:20.913
ddocah4wssd0-oj7ldws,Parisio,Juguetes,Juguetes Kit,277320,69,21/10/2025 22:05:22.893
ddocahhystyw-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 22:05:23.682
ddocaim2ibgj-rewugd5,Riploy,Juguetes,Juguetes Mini,40300,125,21/10/2025 22:05:26.107
ddocajkkplww-5wr0lv1,Riploy,Mascotas,Mascotas Ultra,83775,132,21/10/2025 22:05:28.193
ddocakztinzj-5ctqv0m,Riploy,Belleza,Belleza Plus,43820,32,21/10/2025 22:05:31.292
ddocalej9rsb-bhh3swh,Parisio,Belleza,Belleza Plus,30161,56,21/10/2025 22:05:32.182
ddocambm29c6-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 22:05:34.182
ddocamv62hc0-w0c5s6s,Parisio,Computación,Computación Plus,151427,8,21/10/2025 22:05:35.364
ddocanreba12-jg5rm6j,Falabellox,Hogar,Hogar Pack,204735,3,21/10/2025 22:05:37.313
ddocaoqckgfi-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 22:05:39.426
ddocaot0m36b-123s6cak,Parisio,Computación,Computación Mini,287255,2,21/10/2025 22:05:39.588
ddocapr6azpj-8uljj55,Riploy,Deportes,Deportes Eco,106091,121,21/10/2025 22:05:41.653
ddocarnaej1h-7sh7y5,Riploy,Electrónica,Electrónica Smart,164106,7,21/10/2025 22:05:45.772
ddocas2npdbk-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 22:05:46.701
ddocasleyg3a-a8j8xh6,Parisio,Automotriz,Automotriz Kit,200261,7,21/10/2025 22:05:47.835
ddocasnem2kv-xdj6i4s,Riploy,Automotriz,Automotriz Kit,175780,70,21/10/2025 22:05:47.956
ddocatzgt5if-10f1urbv,Falabellox,Electrodomésticos,Electrodomésticos Kit,191699,64,21/10/2025 22:05:50.862
ddocau2pkef0-y8q18pg,Riploy,Electrónica,Electrónica Pro,125146,56,21/10/2025 22:05:51.058
ddocavi42ua4-4lbccz5,Riploy,Computación,Computación Eco,138472,10,21/10/2025 22:05:54.166
ddocavw5zfcj-om4sfk,Falabellox,Hogar,Hogar Pack,21811,29,21/10/2025 22:05:55.016
ddocawdduvzt-p1vj26y,Parisio,Hogar,Hogar Mini,10377,13,21/10/2025 22:05:56.057
ddocaxblqd6i-o0ip4da,Falabellox,Belleza,Belleza Pro,40751,1,21/10/2025 22:05:58.126
ddocaxc47k3s-18acnsjp,Parisio,Hogar,Hogar Mini,265544,11,21/10/2025 22:05:58.157
ddocaxfccp82-195wvb9u,Riploy,Hogar,Hogar XL,120458,78,21/10/2025 22:05:58.352
ddocayriv9p4-jmnqanz,Parisio,Deportes,Deportes Kit,276349,2,21/10/2025 22:06:01.265
