ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddoczkjxmvol-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 22:38:09.435
ddoczmgopzm0-hqbhl5d,Falabellox,Juguetes,Juguetes Eco,290878,37,21/10/2025 22:38:13.593
ddoczoci2bs3-m6ieq1o,Falabellox,Computación,Computación Eco,291458,11,21/10/2025 22:38:17.693
ddoczq8rzgeg-tf6a83e,Falabellox,Electrónica,Electrónica Kit,391354,89,21/10/2025 22:38:21.822
ddoczro5ixuc-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 22:38:24.928
ddoczt3s1otg-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 22:38:28.050
ddoczuzm2esf-b5acgna,Falabellox,Electrodomésticos,Electrodomésticos Plus,575513,19,21/10/2025 22:38:32.151
ddoczwvam1wr-jrugqn6,Falabellox,Electrodomésticos,Electrodomésticos Kit,431281,159,21/10/2025 22:38:36.244
ddoczxu12v04-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 22:38:38.344
ddoczz9n2cwa-jg5rm6j,Falabellox,Hogar,Hogar Pack,204735,3,21/10/2025 22:38:41.465
ddod008c02jh-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 22:38:43.563
ddod01nqtcy8-1726w5iu,Falabellox,Computación,Computación Pro,564722,36,21/10/2025 22:38:46.671
ddod03j8iok2-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 22:38:50.752
ddod05frnl8a-10f1urbv,Falabellox,Electrodomésticos,Electrodomésticos Kit,191699,64,21/10/2025 22:38:54.896
ddod07buwjqm-om4sfk,Falabellox,Hogar,Hogar Pack,21811,29,21/10/2025 22:38:59.013
ddod08rflceq-o0ip4da,Falabellox,Belleza,Belleza Pro,40751,1,21/10/2025 22:39:02.132
ddod0anlobo1-ct7pg3i,Falabellox,Juguetes,Juguetes Mini,126044,102,21/10/2025 22:39:06.254
