ID Oferta,Tienda,Categoria,Producto,Precio,Stock,Fecha
ddo9gtqnev3q-l0m4mpz,Falabellox,Moda,Moda Eco,86721,110,21/10/2025 19:52:37.184
ddo9gu0lcuap-y96s9m6,Riploy,Juguetes,Juguetes Mini,29869,5,21/10/2025 19:52:37.785
ddo9gver6yc3-4b22dzi,Parisio,Infantil,Infantil Max,72759,92,21/10/2025 19:52:40.818
ddo9gwc7gnjm-olmmdjm,Riploy,Infantil,Infantil Kit,7520,13,21/10/2025 19:52:42.841
ddo9gxq28dnu-f2i291n,Parisio,Belleza,Belleza Mini,47924,83,21/10/2025 19:52:45.855
ddo9gynkneej-awyiy0n,Riploy,Moda,Moda XL,35142,128,21/10/2025 19:52:47.882
ddo9h01y49kd-4ayicta,Riploy,Deportes,Deportes Smart,107893,33,21/10/2025 19:52:50.928
ddo9h0i3kqb7-7oz3z25,Parisio,Electrónica,Electrónica Pro,51845,13,21/10/2025 19:52:51.904
ddo9h0oht9mv-12wf563n,Falabellox,Automotriz,Automotriz Pack,163723,137,21/10/2025 19:52:52.291
ddo9h1101lt7-jzf8anl,Riploy,Herramientas,Herramientas Max,149038,34,21/10/2025 19:52:53.047
ddo9h22rkj83-a6qxaxf,Falabellox,Belleza,Belleza Pro,42974,76,21/10/2025 19:52:55.331
ddo9h3h0lk0m-rewugd5,Riploy,Juguetes,Juguetes Mini,40300,125,21/10/2025 19:52:58.369
ddo9h4f1sxzm-5wr0lv1,Riploy,Mascotas,Mascotas Ultra,83775,132,21/10/2025 19:53:00.427
ddo9h5t7yl46-5ctqv0m,Riploy,Belleza,Belleza Plus,43820,32,21/10/2025 19:53:03.461
ddo9h66kief5-bhh3swh,Parisio,Belleza,Belleza Plus,30161,56,21/10/2025 19:53:04.268
ddo9h6s9bydp-16wg47ge,Falabellox,Mascotas,Mascotas Pack,31529,75,21/10/2025 19:53:05.579
ddo9h7krwej8-w0c5s6s,Parisio,Computación,Computación Plus,151427,8,21/10/2025 19:53:07.303
ddo9h9515rk9-18k3pdyd,Falabellox,Mascotas,Mascotas Max,135111,3,21/10/2025 19:53:10.705
ddo9hag9qdph-8uljj55,Riploy,Deportes,Deportes Eco,106091,121,21/10/2025 19:53:13.561
ddo9hcb8bqfx-7sh7y5,Riploy,Electrónica,Electrónica Smart,164106,7,21/10/2025 19:53:17.610
ddo9hcey4e1l-9ds7bvh,Falabellox,Infantil,Infantil Smart,56983,57,21/10/2025 19:53:17.835
ddo9hd95szu8-xdj6i4s,Riploy,Automotriz,Automotriz Kit,175780,70,21/10/2025 19:53:19.662
ddo9heaywa8c-10f1urbv,Falabellox,Electrodomésticos,Electrodomésticos Kit,191699,64,21/10/2025 19:53:21.948
ddo9henvkaa4-y8q18pg,Riploy,Electrónica,Electrónica Pro,125146,56,21/10/2025 19:53:22.728
ddo9hg4rp4yv-4lbccz5,Riploy,Computación,Computación Eco,138472,10,21/10/2025 19:53:25.927
ddo9hg60lapx-om4sfk,Falabellox,Hogar,Hogar Pack,21811,29,21/10/2025 19:53:26.002
ddo9hgw8j0oi-p1vj26y,Parisio,Hogar,Hogar Mini,10377,13,21/10/2025 19:53:27.588
ddo9hhk4lxzu-o0ip4da,Falabellox,Belleza,Belleza Pro,40751,1,21/10/2025 19:53:29.032
ddo9hhzczvvv-195wvb9u,Riploy,Hogar,Hogar XL,120458,78,21/10/2025 19:53:29.953
ddo9hjf6edbp-ct7pg3i,Falabellox,Juguetes,Juguetes Mini,126044,102,21/10/2025 19:53:33.086
ddo9hju2vx0t-5nl7gqi,Riploy,Electrónica,Electrónica Smart,182340,3,21/10/2025 19:53:33.988
